x,Runif,Rbound
0.25,8.17729525444,223042938.165
0.3,6.89928028275,248003.98127
0.4,5.29881767494,406.296976875
0.45,4.77914778676,83.1274787158
0.5,4.36324110216,29.0073622935
0.6,3.70158783404,8.68454170097
0.7,3.28702472679,4.75477489571
0.8,2.97941494055,3.41066770451
0.9,2.70963152527,2.79078215093
1.0,2.44843298474,2.44987348447
1.25,2.04634269277,2.04701919811
1.5,1.87434776744,1.87474704481
2.0,1.7284572007,1.72864956301
