x,y,z
0.03333333333333333,0.0556027758856,0.0306705748353
0.05,0.0804313652552,0.0456944044387
0.06666666666666667,0.103531455432,0.0607182340421
0.1,0.144563761306,0.0907658932489
0.13333333333333333,0.180115550006,0.120813552456
0.2,0.239115432495,0.180908571251
0.3333333333333333,0.326355246152,0.299519204726
0.5,0.438628861097,0.420365449591
0.6,0.49243146447,0.469998756432
0.75,0.540674991723,0.520098812544
0.85,0.560768378712,0.542609672477
1,0.580991652602,0.566268481538
1.5,0.611356035015,0.603705566355
2,0.622301096007,0.617767703183
