itr,SGD,Bayes,split
0,0.9087348315562833,0.9087352362476089,
1,1.5620579273975734,1.1816780888113787,
2,1.8077767374997873,1.3492068858055781,
3,1.9967368080037338,1.4300270451471024,
4,2.1015675304760104,1.4253225422026898,
5,2.1736532465952414,1.457132263906532,
6,2.219223161025458,1.4636104552941471,
7,2.2448698164014442,1.4566393619854943,
8,2.250739695884228,1.443942337646141,
9,2.2529790192944303,1.4413062722481087,
10,2.251341037242549,1.4397272763015394,
11,2.2540432785006783,1.4716097087843278,
12,2.253997442954623,1.479862030576306,
13,2.2551620391463727,1.4853171486232966,
14,2.2559395889578266,1.501483058804627,
15,2.252333543358427,1.491755562103306,
16,2.249649647065439,1.4949451608964033,
17,2.2470317604043246,1.4989690817760253,
18,2.2405314088875654,1.4879302294132755,
19,2.2308601635700693,1.493358381288446,
20,2.2225324423396544,1.5067453830463207,
21,2.2149544587702175,1.5011848883011683,
22,2.2075966131926013,1.4916231698358522,
23,2.200424662628805,1.4967933614058349,4.529496677670833
24,2.1935406467503555,1.4971362156685672,4.679062278308609
25,2.187589279649846,1.502224474952239,4.822889190899446
26,2.1825689842555565,1.5057791346524687,4.961972033443802
27,2.1784824402061327,1.5072605828780892,5.103958529101954
28,2.1750919030327673,1.5097347087489228,5.24236870917169
29,2.171606078225197,1.512292106386036,5.379160487314459
30,2.168075299293173,1.5146975293063396,5.505637265339981
31,2.164276350272078,1.51388174215021,5.641066338210436
32,2.158551106610293,1.493271784501475,5.762726723698761
33,2.154311950362342,1.4999589669386124,5.914607272718773
34,2.149795615003689,1.5034530986193957,6.063965188128657
35,2.145430835977183,1.4975799620438763,6.201810234153898
36,2.1414385911887606,1.492119630199757,6.343774641630905
37,2.1372919149154113,1.4969793907139053,6.488255595095939
38,2.1326372735856918,1.5025136370602747,6.629495512270894
39,2.1276407259726193,1.4931415397505048,6.7745522736454795
40,2.1219542409664482,1.4874541740991696,6.9115131037420605
41,2.1158437989969845,1.4823399650490772,7.048218133984126
42,2.109300153786204,1.4772975917238778,7.188795353979055
43,2.1030473610835196,1.4790219386376386,7.3280068458659935
44,2.096805113483268,1.4836921135816517,7.468538704956074
45,2.0906951825395144,1.4895396034132593,7.61073809571085
46,2.0851097313077904,1.4870798948195658,7.752378920572918
47,2.0793741155116265,1.4754743384710425,7.895905762258485
48,2.0736428531422866,1.4773623731047114,8.024692199595533
49,2.0681088600554802,1.4741034549198098,8.159948000537366
50,2.062394114857311,1.459965004687273,8.3058343598127
51,2.056859836466735,1.4645832055489993,8.45393465441839
52,2.0514946663018887,1.4647595025411604,8.585029442974408
53,2.0466215644046213,1.465255560842518,8.726544997548679
54,2.0414786540202368,1.4666865159039182,8.86292721548249
55,2.036659024148381,1.4675362955185667,9.005427800319593
56,2.032280111574901,1.4743442571068874,9.146049581688123
57,2.027749709669313,1.4707272386196073,9.28242490133347
58,2.023714452238025,1.4747648203176094,9.43890487968783
59,2.020043004648347,1.4810120302466834,9.572420581979031
60,2.016528323969459,1.4816262365010624,9.714493376763196
61,2.0132561952569525,1.4853040080209923,9.854024688683545
62,2.010192405246857,1.4844097139949926,10.00043906113249
63,2.0072582521568862,1.4865851098301612,10.151382017405448
64,2.0046599064114314,1.490154752521827,10.288351958457692
65,2.002157379055298,1.4893739914915236,10.428580414672595
66,1.9999124995571884,1.4905862082456771,10.568006924963209
67,1.9982389756446688,1.4924793752303385,10.710585739661385
68,1.9966483961087242,1.4890994830030133,3.8371195025074747
69,1.9949371276110983,1.4840698658495182,3.8769397387104423
70,1.9933423326046316,1.4885180120436088,3.92044003843448
71,1.9915753424113636,1.4817164775410248,3.959219463842281
72,1.9898143969449915,1.4807632813104643,3.9893510523024283
73,1.9879477853462126,1.4861152543091234,4.025691067411475
74,1.9862213890705498,1.48914245983695,4.063795743792315
75,1.984454630295526,1.494211244248376,4.099596825928481
76,1.98260755275157,1.493750012199365,4.139513120336061
77,1.9810022932475566,1.504817343771875,4.186250703746358
78,1.9794639132095502,1.5084501351324937,4.234050703907631
79,1.9777241027848114,1.5111575669500805,4.27426096665695
80,1.9760411572508965,1.5102577398041273,4.311295739559634
81,1.974131620637546,1.510673613063211,4.346090485763646
82,1.972544495603008,1.5151892767524278,4.394492493071514
83,1.9708476356156401,1.510889955046612,4.43442307289176
84,1.9692631428519376,1.5074048348201765,4.471098517331417
85,1.9677681441788246,1.5089761783281823,4.505481183456394
86,1.9662859731769229,1.4983067986594334,4.528865298356081
87,1.964939431844038,1.5014024502242724,4.568065261113958
88,1.9635902544347772,1.5016885157311288,4.604399050463413
89,1.9623747207505005,1.5086581528156546,4.638954034042128
90,1.961348178914347,1.5108824902641431,4.675266499189111
91,1.9603492717739277,1.5139287234960688,4.725129806001019
92,1.9593033082252858,1.508957791140964,4.758454164780516
93,1.958025032537169,1.5106321500156257,4.7996956564885975
94,1.9564463175437636,1.5065188267502112,4.826949616275132
95,1.9548075739160269,1.5063460009774159,4.865202316662234
96,1.9531531159616204,1.5113449575682771,4.902186052771925
97,1.9515862809291942,1.5109108207220694,4.936754075533237
98,1.9499673893892804,1.5088528207430676,4.974277994707715
99,1.9482693933248547,1.5134674853832124,5.012503583775889
100,1.9467393359535476,1.513056437810235,5.0466928319697555
101,1.9452095491390418,1.51608477259595,5.080374867137888
102,1.9438389442146704,1.5175998339331158,5.117352698950965
103,1.9425008424307741,1.5146350730747622,5.162098524225259
104,1.9411050394592262,1.5130353202973226,5.198091638188984
105,1.93945015413065,1.5098340025084478,5.232604882636381
106,1.9377212643897952,1.5066609336959373,5.26901725210178
107,1.9360419293989746,1.5072952976703249,5.3054031514503
108,1.934489103669129,1.509725123466604,5.343163124886921
109,1.9330384112134464,1.5147302480778486,5.3806530584464385
110,1.9315684022403177,1.5140159932034194,5.420611758856761
111,1.9298264342092288,1.5090825737993852,5.454353957558719
112,1.9280169808568979,1.510966190672673,3.1055548972346045
113,1.925974317750135,1.5033493583024362,3.112622317330954
114,1.9243702933576587,1.5112804374023598,3.1322009761152927
115,1.92276970192044,1.511452975033231,3.1507834785011455
116,1.9209220698122904,1.5035759958824861,3.1624564087960163
117,1.9192689693179545,1.5061921502741888,3.1804658969911346
118,1.917663313092082,1.5062303369871266,3.193015297533629
119,1.9160557167069856,1.5040131236205052,3.2078936930489075
120,1.914705751375368,1.5081930179067242,3.2288592591040444
121,1.9132861564311487,1.50888575610048,3.2525015831426383
122,1.9118598784853573,1.5118145126208407,3.27063380454222
123,1.9105899844331247,1.5088837008784344,3.285473457201675
124,1.9092092854160096,1.5070506198917197,3.2989191552312866
125,1.907910929274322,1.5074102563483365,3.313587487012906
126,1.9065865761963463,1.5073759150518142,3.3266549048036524
127,1.9053107098795607,1.5044879987750233,3.3389721766098046
128,1.904032253523668,1.5026129656699936,3.3521732372274298
129,1.9027125676178998,1.4991209866320592,3.3699364481006326
130,1.901498403343094,1.497395500010971,3.386417574303509
131,1.9003021023479392,1.4985335412969725,3.3991735965630268
132,1.8989862122428651,1.4970664845072092,3.421209316357602
133,1.8977213893864326,1.4987880594744147,3.4429731910205854
134,1.8965116475684747,1.496886290539462,3.462840351374435
135,1.8953124832785213,1.495110428818597,3.4770400528383414
136,1.8941335177636773,1.4913742128169132,3.498539550700688
137,1.892946857482083,1.4915654185500151,3.514856546210718
138,1.8917372893397473,1.4904367062609472,3.5339040185119166
139,1.8905621022709684,1.4957085976035303,3.54653526053451
140,1.8894554783230435,1.4940117414342113,3.5607149974902317
141,1.8883772462576052,1.4912063302535346,3.5775882835797903
142,1.8870977861216247,1.4862072650606213,3.593697409524718
143,1.8859119325800222,1.4869600324617165,3.6068132249202223
144,1.8846730543046555,1.4860575083541354,3.620169829406872
145,1.8834751913972814,1.4940203355876989,3.636957161544624
146,1.8823152619194339,1.4951054324467394,3.6526364597596506
147,1.8812546333875226,1.4964532152501457,3.670397227210456
148,1.8803312500049911,1.5023288215672168,3.6881501700028867
149,1.8794649126595286,1.5032506825884528,3.7024721398317233
150,1.87842309681358,1.501366610366069,3.7137031586521827
151,1.87742217782951,1.5033878784227677,3.7350024799778634
152,1.8763484965159543,1.503014865380596,3.7515420235978807
153,1.8751327610693582,1.4993289687676774,3.767387200086028
154,1.873992240854624,1.5042165004894557,3.7898038218296435
155,1.8730208588180945,1.5116216968918659,3.8104008952090447
156,1.8722510454022698,1.5179579243370454,3.824153769311157
157,1.871533789771209,1.5187255050644108,2.646834327343351
158,1.8708634295110482,1.5220351876675136,2.6581386785521928
159,1.870159235527753,1.5198509334048016,2.665809002029802
160,1.8693662471614934,1.5199357104405748,2.6753510378136642
161,1.868648669531893,1.524772154443484,2.6915861786629893
162,1.8679962902753493,1.5260257304025293,2.700920969318329
163,1.867300108344516,1.5205686991254794,2.704945505674821
164,1.866833832418141,1.527547145626255,2.7171506102520877
165,1.8664151843694454,1.5306860414325012,2.7274120982046215
166,1.8659694720752733,1.5289014916188137,2.7317640401401677
167,1.8654457010453003,1.5224812484891999,2.7382382494930506
168,1.8648891788405009,1.5211528671562844,2.7450136854776823
169,1.864422114276961,1.5226033148546423,2.750836286988644
170,1.864030105647088,1.5236414413674884,2.759739175443387
171,1.8635487399521724,1.5235775923991564,2.766771907034876
172,1.8631327058716098,1.5220121004491542,2.7753298538311446
173,1.8625061984412015,1.514803389328338,2.7788512513560897
174,1.8619879920767552,1.5209643441403755,2.7894382348167492
