n,SGD,Bayes,split
430,1.7791852400000001,1.52302039,1.7127767600000001
431,1.7790624,1.52370288,1.71519984
432,1.77891555,1.5231511100000001,1.7158577600000002
433,1.7787273,1.52199026,1.71431302
434,1.77855405,1.5223042500000001,1.7135172
435,1.77839168,1.52303956,1.71719036
436,1.77826225,1.5239938,1.7183626600000002
437,1.7781310799999999,1.5252693,1.71860688
438,1.7780158499999998,1.52561719,1.7201073599999999
439,1.7778816,1.5236848,1.720004
440,1.7777503799999999,1.52495154,1.72053504
441,1.7776046600000002,1.52448452,1.7205513000000001
442,1.7774577599999999,1.5252622900000001,1.7230086299999998
443,1.77730092,1.52381244,1.7228487600000002
444,1.7771030499999998,1.52059615,1.7195245000000001
445,1.7769308999999998,1.5209224399999999,1.72143066
446,1.77676242,1.5207834,1.71991296
447,1.77663808,1.52328512,1.72071872
448,1.77652238,1.52450766,1.7242049
449,1.776402,1.5256574999999999,1.723185
450,1.7762905599999999,1.5258683,1.7229102
451,1.7761701600000002,1.52523332,1.7239506
452,1.7760680400000002,1.52725326,1.72609761
453,1.7759889799999997,1.52837284,1.72860954
454,1.77596055,1.5329314,1.73130685
455,1.7759512800000001,1.53374232,1.73183784
456,1.77596598,1.53520924,1.73513303
457,1.7759637,1.53329698,1.7337589999999998
458,1.77595362,1.53239445,1.73234403
459,1.7759404,1.5320208,1.7118256
460,1.77591952,1.53220726,1.71170222
461,1.77588642,1.5330823199999999,1.7125877999999999
462,1.7758828000000002,1.5350209400000001,1.71378987
463,1.77588112,1.53439232,1.71358912
464,1.7758815000000001,1.53200295,1.71345525
465,1.77587474,1.5314530800000001,1.7130672599999999
466,1.77585156,1.52953241,1.7112094199999999
467,1.77581664,1.52901216,1.7096133599999999
468,1.7757747,1.53049708,1.71023195
469,1.7757163999999999,1.5284541,1.7087038
470,1.77565116,1.52869644,1.71143031
471,1.77557432,1.52874192,1.71108024
472,1.77549537,1.52682035,1.7125485299999998
473,1.7754144,1.5269483400000001,1.7118984
474,1.7753125,1.5257,1.7098337499999998
475,1.77518488,1.5235332,1.70843064
476,1.7750696400000001,1.5236095500000002,1.71108009
477,1.77495262,1.52275982,1.71196178
478,1.77485307,1.5243312800000002,1.7140583900000002
479,1.7747424,1.5231599999999998,1.7147232
480,1.77462064,1.5233751,1.71527005
481,1.77446854,1.5224018199999998,1.71250262
482,1.77431499,1.52274927,1.712235
483,1.77419396,1.52544216,1.71396016
484,1.77408635,1.526295,1.71442165
485,1.77393402,1.52289072,1.7115947999999999
486,1.7737660100000001,1.52137339,1.71176117
487,1.77361648,1.52294064,1.71362176
488,1.77346608,1.52445261,1.7141699400000001
489,1.7733492000000002,1.5278787999999999,1.7170041
490,1.77323668,1.52801655,1.71706628
491,1.77312864,1.5287768400000001,1.69367064
492,1.7730104100000001,1.52822605,1.6938494000000002
493,1.77289684,1.5296067800000002,1.69472134
494,1.77277815,1.52772345,1.69503345
495,1.77262464,1.52645984,1.69459888
496,1.77247098,1.52682873,1.69405929
497,1.77232722,1.5281628,1.6941461999999998
498,1.77220848,1.5280378000000001,1.69532755
499,1.77209,1.52825,1.6951
500,1.7719869,1.5281652300000002,1.69605534
501,1.77189936,1.52958898,1.69787946
502,1.7718325899999998,1.5315394299999998,1.6995364
503,1.77177168,1.5330873600000001,1.70043552
504,1.77174705,1.53515455,1.70324885
505,1.77175394,1.5380122999999999,1.70448124
506,1.77176727,1.5389528700000001,1.70667354
507,1.771777,1.53834592,1.70543728
508,1.77176792,1.5369764,1.70484969
509,1.7717043000000001,1.5327642,1.7018751
510,1.77167788,1.53424684,1.70312723
511,1.77166336,1.53723904,1.7074688
512,1.77164037,1.53671715,1.7056788299999999
513,1.77160894,1.5368137400000002,1.70476324
514,1.77158455,1.5381814,1.70630315
515,1.7715879600000002,1.5390886799999999,1.70836764
516,1.77157288,1.5381783999999998,1.7075889599999998
517,1.77155482,1.53746026,1.70735908
518,1.77152346,1.5376413,1.70807571
519,1.7714892,1.5386799999999998,1.7080752
520,1.7714833600000002,1.54026877,1.70883832
521,1.77143832,1.53741528,1.70694522
522,1.77139054,1.53635434,1.7018053899999999
523,1.77134532,1.53688152,1.7030366799999999
524,1.7712712499999999,1.53571425,1.70304225
525,1.77120506,1.53501002,1.7035193800000001
526,1.7711468700000002,1.53585191,1.70378046
527,1.77110736,1.53630576,1.70476944
528,1.7710708400000001,1.53607317,1.70568644
529,1.7710056,1.5344347999999999,1.7056247999999998
530,1.77093279,1.53371916,1.706634
531,1.7708471200000002,1.53230896,1.70545368
532,1.7707325999999999,1.5301683799999999,1.7027431199999998
533,1.77061584,1.5305080800000002,1.70412216
534,1.7704969,1.52912095,1.705152
535,1.77036512,1.52728912,1.70407264
536,1.77024198,1.52832348,1.70520054
537,1.77014912,1.5320303199999998,1.70812848
538,1.77007061,1.5326734499999999,1.7070776799999998
539,1.7699795999999999,1.531089,1.7057196000000001
540,1.76987068,1.52934208,1.70378212
541,1.76977634,1.5302069200000001,1.7036144
542,1.76969673,1.5314500500000001,1.70406975
543,1.76961024,1.53259488,1.70449888
544,1.7695387,1.532431,1.7049998000000002
545,1.7694440400000002,1.531257,1.7060316
546,1.76932073,1.52881577,1.70566087
547,1.7692015600000002,1.53010368,1.7050471999999999
548,1.7691030900000002,1.53140805,1.70710452
549,1.7689925000000002,1.5315575000000001,1.7078435
550,1.76885326,1.5310086,1.70768124
551,1.7687184,1.53194352,1.70996904
552,1.76857142,1.53234088,1.7110041200000001
553,1.7684289400000002,1.5332116199999999,1.71342228
554,1.76827995,1.5319998,1.6982667
555,1.7681467199999998,1.53319224,1.69930836
556,1.76801826,1.5327470300000001,1.69791424
557,1.76787234,1.53088416,1.6976034
558,1.76775365,1.53373389,1.69904137
559,1.7676008,1.5312584,1.6943192
560,1.76745855,1.53177123,1.69455099
561,1.76730454,1.5324953199999998,1.69514936
562,1.76715566,1.53358948,1.69401633
563,1.76700072,1.53311556,1.69356228
564,1.7668510499999999,1.5348677000000002,1.69503955
565,1.76670674,1.5338882999999999,1.6943493
566,1.7665735500000002,1.5355153799999999,1.69483104
567,1.76644592,1.5354573599999999,1.6975702400000001
568,1.76632963,1.5366982999999999,1.69849914
569,1.7661906,1.5349986000000002,1.6974143999999998
570,1.76606303,1.53592719,1.69618405
571,1.76592416,1.53579712,1.69627744
572,1.76578545,1.53596088,1.6972202699999999
573,1.76564696,1.5360584400000001,1.6969506399999998
574,1.7655087500000002,1.537527,1.697814
575,1.7653708799999999,1.53710208,1.69831296
576,1.76522187,1.53734726,1.69639731
577,1.7650675,1.536613,1.6967710200000001
578,1.76489622,1.53509691,1.6984096499999999
579,1.7647428,1.5366520000000001,1.6993536
580,1.76460158,1.5378082300000002,1.70075549
581,1.76448432,1.53919794,1.70475366
582,1.76437954,1.5393590300000002,1.70481443
583,1.7642348,1.536942,1.70287976
584,1.7640558,1.5336126,1.700361
585,1.7638658600000001,1.53304046,1.7004723800000001
586,1.76368259,1.53431234,1.6743001
587,1.76351784,1.53618528,1.676388
588,1.7633482,1.53559957,1.67609374
589,1.7631736999999998,1.5344602,1.6750867
590,1.7630120999999999,1.53573123,1.67801448
591,1.76286352,1.53620448,1.67786416
592,1.76270436,1.5349982899999999,1.67603148
593,1.76254056,1.5348128399999998,1.67468796
594,1.76239,1.5355403,1.6777928999999998
595,1.76223492,1.5358741200000001,1.67877108
596,1.7620872900000002,1.53659442,1.6806385799999999
597,1.76197112,1.5370992,1.6814982600000001
598,1.7618387,1.53787859,1.68214175
599,1.7616839999999998,1.5358740000000002,1.681794
600,1.76152499,1.53502011,1.6816581
601,1.7613677200000002,1.5344980000000001,1.68076594
602,1.76121225,1.5343938000000001,1.68003639
603,1.76103448,1.5316232,1.67719324
604,1.7608767,1.5310251,1.6767454000000002
605,1.7607027,1.5299439600000002,1.67587482
606,1.76054887,1.53107252,1.6765582799999998
607,1.76037888,1.52977664,1.67597024
608,1.7601927000000002,1.52815152,1.6737756
609,1.7600208,1.5284160000000002,1.6758103
610,1.75983886,1.5280987799999999,1.67544143
611,1.75967136,1.52922276,1.67641488
612,1.7594939,1.52811705,1.6745137099999998
613,1.75933104,1.53008186,1.6770489
614,1.7591829,1.5310425,1.67748015
615,1.7590619200000002,1.53149304,1.6787971199999998
616,1.75893743,1.5300427699999999,1.67816596
617,1.758828,1.5325782000000001,1.6872759600000002
618,1.75873375,1.53448243,1.6877035
619,1.7586424,1.5346984000000001,1.6876214
620,1.7585415899999999,1.5352920899999998,1.68726321
621,1.75843754,1.53370272,1.6865654399999999
622,1.75831782,1.53325907,1.68777553
623,1.75819488,1.53194496,1.6858545600000001
624,1.7580937499999998,1.53465,1.687475
