,Kopt,Kunif,b,sig
0,0.01762958022180494,0.009637213390574908,0.5,0.01
1,0.03441485953290426,0.01865151115261011,0.5,0.02
2,0.05560277588563787,0.03067057483532372,0.5,0.03333333333333333
3,0.08043136525520589,0.04569440443871573,0.5,0.05
4,0.10353145543227431,0.06071823404210773,0.5,0.06666666666666667
5,0.14456376130561252,0.09076589324889175,0.5,0.1
6,0.18011555000618595,0.12081355245564462,0.5,0.13333333333333333
7,0.23911543249463799,0.18090857125091594,0.5,0.2
8,0.3263552461521356,0.29951920472574906,0.5,0.3333333333333333
9,0.438628861096988,0.42036544959124234,0.5,0.5
10,0.4924314644698149,0.4699987564320455,0.5,0.6
11,0.5406749917234726,0.5200988125438369,0.5,0.75
12,0.5607683787121184,0.542609672477328,0.5,0.85
13,0.5809916526022814,0.566268481537783,0.5,1.0
14,0.6113560350151396,0.6037055663548248,0.5,1.5
15,0.6223010960070139,0.6177677031831948,0.5,2.0
